,AQI
1194,78.0
1195,86.0
1196,48.0
1197,80.0
1198,59.0
1199,64.0
1200,32.0
1201,60.0
1202,46.0
1203,25.0
1204,38.0
1205,32.0
1206,29.0
1207,33.0
1208,54.0
1209,65.0
1210,49.0
1211,54.0
1212,72.0
1213,99.0
1214,79.0
1215,65.0
1216,52.0
1217,45.0
1218,45.0
1219,119.0
1220,114.0
1221,136.0
1222,88.0
1223,36.0
1224,35.0
1225,38.0
1226,55.0
1227,59.0
1228,57.0
1229,73.0
1230,76.0
1231,82.0
1232,165.0
1233,159.0
1234,141.0
1235,96.0
1236,53.0
1237,61.0
1238,42.0
1239,50.0
1240,59.0
1241,38.0
1242,41.0
1243,38.0
1244,46.0
1245,63.0
1246,83.0
1247,54.0
1248,60.0
1249,82.0
1250,98.0
1251,97.0
1252,59.0
1253,36.0
1254,47.0
1255,61.0
1256,107.0
1257,93.0
1258,96.0
1259,65.0
1260,151.0
1261,124.0
1262,74.0
1263,60.0
1264,59.0
1265,56.0
1266,46.0
1267,44.0
1268,63.0
1269,114.0
1270,143.0
1271,167.0
1272,214.0
1273,133.0
1274,103.0
1275,165.0
1276,134.0
1277,156.0
1278,122.0
1279,102.0
1280,90.0
1281,90.0
1282,75.0
1283,66.0
1284,61.0
1285,65.0
1286,40.0
1287,29.0
1288,62.0
1289,79.0
1290,96.0
1291,77.0
1292,74.0
1293,61.0
1294,57.0
1295,69.0
1296,57.0
1297,72.0
1298,64.0
1299,92.0
1300,63.0
1301,41.0
1302,45.0
1303,58.0
1304,81.0
1305,117.0
1306,103.0
1307,114.0
1308,88.0
1309,103.0
1310,108.0
1311,88.0
1312,70.0
1313,103.0
1314,109.0
1315,105.0
1316,107.0
1317,122.0
1318,110.0
1319,122.0
1320,96.0
1321,106.0
1322,100.0
1323,103.0
1324,100.0
1325,98.0
1326,70.0
1327,79.0
1328,74.0
1329,87.0
1330,83.0
1331,97.0
1332,97.0
1333,105.0
1334,79.0
1335,77.0
1336,111.0
1337,108.0
1338,122.0
1339,72.0
1340,58.0
1341,90.0
1342,93.0
1343,78.0
1344,69.0
1345,66.0
1346,71.0
1347,92.0
1348,95.0
1349,79.0
1350,75.0
1351,65.0
1352,81.0
1353,92.0
1354,98.0
1355,101.0
1356,102.0
1357,115.0
1358,110.0
1359,136.0
1360,117.0
1361,269.0
1362,114.0
1363,97.0
1364,74.0
1365,72.0
1366,72.0
1367,101.0
1368,101.0
1369,88.0
1370,95.0
1371,101.0
1372,91.0
1373,90.0
1374,102.0
1375,94.0
1376,80.0
1377,141.0
1378,79.0
1379,109.0
1380,108.0
1381,117.0
1382,104.0
1383,101.0
1384,82.0
1385,68.0
1386,77.0
1387,74.0
1388,62.0
1389,36.0
1390,88.0
1391,88.0
1392,88.0
1393,88.0
1394,88.0
1395,88.0
1396,88.0
1397,91.0
1398,65.0
1399,84.0
1400,91.0
1401,95.0
1402,94.0
1403,109.0
1404,102.0
1405,74.0
1406,51.0
1407,62.0
1408,73.0
1409,49.0
1410,41.0
1411,78.0
1412,64.0
1413,66.0
1414,58.0
1415,61.0
1416,51.0
1417,33.0
1418,40.0
1419,94.0
1420,53.0
1421,53.0
1422,53.0
1423,53.0
1424,53.0
1425,53.0
1426,53.0
1427,53.0
1428,53.0
1429,53.0
1430,53.0
1431,53.0
1432,53.0
1433,53.0
1434,53.0
1435,53.0
1436,62.0
1437,46.0
1438,49.0
1439,57.0
1440,51.0
1441,35.0
1442,46.0
1443,32.0
1444,34.0
1445,29.0
1446,29.0
1447,31.0
1448,29.0
1449,29.0
1450,29.0
1451,28.0
1452,48.0
1453,32.0
1454,28.0
1455,26.0
1456,37.0
1457,30.0
1458,33.0
1459,35.0
1460,31.0
1461,40.0
1462,53.0
1463,50.0
1464,49.0
1465,34.0
1466,30.0
1467,39.0
1468,53.0
1469,45.0
1470,31.0
1471,30.0
1472,36.0
